PV_INTERNAL_IMMIGRATION;Imigração Interna: ;;;;;;;;;;;;;x
PV_EXTERNAL_IMMIGRATION;Imigração Externa: ;;;;;;;;;;;;;x
COUNTRYALERT_CanRemoveFromSphere;Nos podemos remover nações da nossa §YSphere of Influence§!:;;;;;;;;;;;;;x
PV_CLERGY_LIT_DESC1;$NUM$ da nossa população em $LOC$ are Clergy.;;;;;;;;;;;;;x
PV_CLERGY_LIT_DESC2;Ideal é $OPT$.;;;;;;;;;;;;;x
PV_CLERGY_LIT_DESC3;Valor base de variação mensal: $VAL$;;;;;;;;;;;;;x
IN_SOCIAL_MOVEMENT;em movimento social;;;;;;;;;;;;;x
NOT_IN_SOCIAL_MOVEMENT;não está em movimento social;;;;;;;;;;;;;x
IN_POLITICAL_MOVEMENT;em movimento politico;;;;;;;;;;;;;x
NOT_IN_POLITICAL_MOVEMENT;não está em movimento politico;;;;;;;;;;;;;x
the_meiji_restoration2_title;Início da Restauração Meiji;;;;;;;;;;;;;x
the_meiji_restoration2_desc;Japão é tradicionalmente considerado por ter sido fundado pelo o Imperador Jimmu em 660 a.C., embora a linhagem imperial é considerada contínua desde então, ao longo do período Edo, o papel do imperador foi reduzida a uma instituição reverenciada e respeitada, mas com falta de poder político. Ao adotar a restauração do governo imperial, juntamente com um programa de rápida modernização industrial, o constitucionalismo e liberdade econômica, o Japão pode ser capaz de quebrar as correntes das imposições do mundo ocidental.;Selon la tradition, le Japon aurait été fondé par l'empereur Jimmu en 660 avant notre ère et alors que la lignée impériale aurait depuis été ininterrompue, le Bureau impérial n'était, pendant la période Edo, qu'une institution, certes respectée, mais privée de pouvoir politique. Moyennant le rétablissement du règne impérial, ainsi que la mise ne place d'un vaste programme de modernisation industriel, de constitutionalisme et de liberté économique, le Japon devrait pouvoir rompre les fers que lui a imposé le monde occidental.;Die Gründung Japans wird üblicherweise dem Kaiser Jimmu im Jahr 660 v.Chr. zugeschrieben, und obwohl die kaiserliche Abstammungslinie seitdem ununterbrochen ist, wurde das Kaiseramt während der Edo-Zeit kontinuierlich zu einer verehrten und respektierten, aber letztendlich machtlosen politischen Institution reduziert. Durch die Restauration der kaiserlichen Herrschaft im Einklang einem Programm für rasche industrielle Modernisierung, Konstitutionalismus und Gewerbefreiheit könnte Japan die Fesseln sprengen, die ihm von der westlichen Welt angelegt wurden.;;Tradicionalmente, se considera que Japón fue fundado por el emperador Jimmu en el año 660 a. de.C. y, aunque el linaje imperial se considera ininterrumpido desde entonces, a lo largo del período Edo, la función del Emperador fue reducida a una institución venerada y respetada pero carente de poder político. Al adoptar la restauración del gobierno imperial, junto a un programa de rápida modernización industrial, constitucionalismo y libertad económica, Japón puede ser capaz de romper las cadenas de las imposiciones del mundo occidental.;;;;;;;;;x
